0000127 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738553 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000128 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738556 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000129 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738560 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2c000c04c8) block: 10
0000130 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738564 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000131 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738568 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2c000c0a48) size: 30
0000132 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738572 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000133 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738575 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000134 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738578 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000135 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738581 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2c000c04c8) block: 11
0000136 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738586 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000137 | T.0x00007f5d40de8700 | 2019-06-21, 02:20:16.738589 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2c000c0a68) size: 30
